level,name,year,tenure,hhlds,value,change_from_prev_data_year
2_counties,Windham County,2000,owner,total,27736,-12062
2_counties,Fairfield County,2000,renter,total,99716,0
2_counties,Hartford County,2000,renter,total,119823,8501
2_counties,Litchfield County,2000,renter,total,17762,-106190
2_counties,Middlesex County,2000,renter,total,17116,208
2_counties,New Haven County,2000,renter,total,117723,100093
2_counties,New London County,2000,renter,total,33273,-92289
2_counties,Tolland County,2000,renter,total,13122,-22821
2_counties,Windham County,2000,renter,total,13406,-2028
2_counties,Fairfield County,2000,total,total,324232,0
2_counties,Hartford County,2000,total,total,335098,-5393
2_counties,Litchfield County,2000,total,total,71551,-277513
2_counties,Middlesex County,2000,total,total,61341,-12646
2_counties,New Haven County,2000,total,total,319040,252148
2_counties,New London County,2000,total,total,99835,-230022
2_counties,Tolland County,2000,total,total,49431,-57971
2_counties,Windham County,2000,total,total,41142,-14090
2_counties,Fairfield County,2010,owner,p1,47766,5351
2_counties,Hartford County,2010,owner,p1,52297,7815
2_counties,Litchfield County,2010,owner,p1,12492,2251
2_counties,Middlesex County,2010,owner,p1,10593,1711
2_counties,New Haven County,2010,owner,p1,46311,4779
2_counties,New London County,2010,owner,p1,15528,2217
2_counties,Tolland County,2010,owner,p1,6828,879
2_counties,Windham County,2010,owner,p1,6084,1161
2_counties,Fairfield County,2010,renter,p1,37385,1882
2_counties,Hartford County,2010,renter,p1,48031,-1002
2_counties,Litchfield County,2010,renter,p1,7855,17
2_counties,Middlesex County,2010,renter,p1,7282,-551
2_counties,New Haven County,2010,renter,p1,47615,-939
2_counties,New London County,2010,renter,p1,13197,198
2_counties,Tolland County,2010,renter,p1,5286,-369
2_counties,Windham County,2010,renter,p1,5002,-72
2_counties,Fairfield County,2010,owner,p2,74995,-388
2_counties,Hartford County,2010,owner,p2,82298,4736
2_counties,Litchfield County,2010,owner,p2,23075,3404
2_counties,Middlesex County,2010,owner,p2,19334,2888
2_counties,New Haven County,2010,owner,p2,74891,5190
2_counties,New London County,2010,owner,p2,28908,3950
2_counties,Tolland County,2010,owner,p2,15794,2270
2_counties,Windham County,2010,owner,p2,11835,1675
2_counties,Fairfield County,2010,renter,p2,24005,-2555
2_counties,Hartford County,2010,renter,p2,31047,-1096
2_counties,Litchfield County,2010,renter,p2,4286,-698
2_counties,Middlesex County,2010,renter,p2,4828,-137
2_counties,New Haven County,2010,renter,p2,31661,434
2_counties,New London County,2010,renter,p2,8731,-470
2_counties,Tolland County,2010,renter,p2,4284,321
2_counties,Windham County,2010,renter,p2,3765,27
2_counties,Fairfield County,2010,owner,p3,40327,1151
2_counties,Hartford County,2010,owner,p3,38093,1477
2_counties,Litchfield County,2010,owner,p3,9778,399
2_counties,Middlesex County,2010,owner,p3,8215,480
2_counties,New Haven County,2010,owner,p3,38324,2628
2_counties,New London County,2010,owner,p3,11951,344
2_counties,Tolland County,2010,owner,p3,7571,1101
2_counties,Windham County,2010,owner,p3,5493,415
2_counties,Fairfield County,2010,renter,p3,15315,-69
2_counties,Hartford County,2010,renter,p3,17640,69
2_counties,Litchfield County,2010,renter,p3,1901,-426
2_counties,Middlesex County,2010,renter,p3,2029,-123
2_counties,New Haven County,2010,renter,p3,16114,-993
2_counties,New London County,2010,renter,p3,4990,-114
2_counties,Tolland County,2010,renter,p3,1693,-138
2_counties,Windham County,2010,renter,p3,1647,-469
2_counties,Fairfield County,2010,owner,p4_or_more,71331,3789
2_counties,Hartford County,2010,owner,p4_or_more,58378,1763
2_counties,Litchfield County,2010,owner,p4_or_more,15000,502
2_counties,Middlesex County,2010,owner,p4_or_more,12654,1492
2_counties,New Haven County,2010,owner,p4_or_more,56605,2217
2_counties,New London County,2010,owner,p4_or_more,17859,1173
2_counties,Tolland County,2010,owner,p4_or_more,11422,1056
2_counties,Windham County,2010,owner,p4_or_more,7954,379
2_counties,Fairfield County,2010,renter,p4_or_more,20658,-1611
2_counties,Hartford County,2010,renter,p4_or_more,19841,-1235
2_counties,Litchfield County,2010,renter,p4_or_more,2301,-312
2_counties,Middlesex County,2010,renter,p4_or_more,2040,-126
2_counties,New Haven County,2010,renter,p4_or_more,19264,-1571
2_counties,New London County,2010,renter,p4_or_more,5426,-543
2_counties,Tolland County,2010,renter,p4_or_more,1574,-99
2_counties,Windham County,2010,renter,p4_or_more,2541,63
2_counties,Fairfield County,2010,owner,total,234419,9903
2_counties,Hartford County,2010,owner,total,231066,15791
2_counties,Litchfield County,2010,owner,total,60345,6556
2_counties,Middlesex County,2010,owner,total,50796,6571
2_counties,New Haven County,2010,owner,total,216131,14814
2_counties,New London County,2010,owner,total,74246,7684
2_counties,Tolland County,2010,owner,total,41615,5306
2_counties,Windham County,2010,owner,total,31366,3630
2_counties,Fairfield County,2010,renter,total,97363,-2353
2_counties,Hartford County,2010,renter,total,116559,-3264
2_counties,Litchfield County,2010,renter,total,16343,-1419
2_counties,Middlesex County,2010,renter,total,16179,-937
2_counties,New Haven County,2010,renter,total,114654,-3069
2_counties,New London County,2010,renter,total,32344,-929
2_counties,Tolland County,2010,renter,total,12837,-285
2_counties,Windham County,2010,renter,total,12955,-451
2_counties,Fairfield County,2010,total,total,331782,7550
2_counties,Hartford County,2010,total,total,347625,12527
2_counties,Litchfield County,2010,total,total,76688,5137
2_counties,Middlesex County,2010,total,total,66975,5634
2_counties,New Haven County,2010,total,total,330785,11745
2_counties,New London County,2010,total,total,106590,6755
2_counties,Tolland County,2010,total,total,54452,5021
2_counties,Windham County,2010,total,total,44321,3179
