level,name,year,tenure,hhlds,value,share
2_counties,New London County,2010,renter,4-person or more,5426,0.168
2_counties,New London County,2018,renter,total,35943,NA
2_counties,New London County,2018,renter,1-person,14563,0.405
2_counties,New London County,2018,renter,2-person,9595,0.267
2_counties,New London County,2018,renter,3-person,6199,0.172
2_counties,New London County,2018,renter,4-person or more,5586,0.155
2_counties,Tolland County,2000,renter,total,13122,NA
2_counties,Tolland County,2000,renter,1-person,5655,0.431
2_counties,Tolland County,2000,renter,2-person,3963,0.302
2_counties,Tolland County,2000,renter,3-person,1831,0.14
2_counties,Tolland County,2000,renter,4-person or more,1673,0.127
2_counties,Tolland County,2010,renter,total,12837,NA
2_counties,Tolland County,2010,renter,1-person,5286,0.412
2_counties,Tolland County,2010,renter,2-person,4284,0.334
2_counties,Tolland County,2010,renter,3-person,1693,0.132
2_counties,Tolland County,2010,renter,4-person or more,1574,0.123
2_counties,Tolland County,2018,renter,total,15434,NA
2_counties,Tolland County,2018,renter,1-person,6549,0.424
2_counties,Tolland County,2018,renter,2-person,4886,0.317
2_counties,Tolland County,2018,renter,3-person,1941,0.126
2_counties,Tolland County,2018,renter,4-person or more,2058,0.133
2_counties,Windham County,2000,renter,total,13406,NA
2_counties,Windham County,2000,renter,1-person,5074,0.378
2_counties,Windham County,2000,renter,2-person,3738,0.279
2_counties,Windham County,2000,renter,3-person,2116,0.158
2_counties,Windham County,2000,renter,4-person or more,2478,0.185
2_counties,Windham County,2010,renter,total,12955,NA
2_counties,Windham County,2010,renter,1-person,5002,0.386
2_counties,Windham County,2010,renter,2-person,3765,0.291
2_counties,Windham County,2010,renter,3-person,1647,0.127
2_counties,Windham County,2010,renter,4-person or more,2541,0.196
2_counties,Windham County,2018,renter,total,13489,NA
2_counties,Windham County,2018,renter,1-person,5402,0.4
2_counties,Windham County,2018,renter,2-person,3551,0.263
2_counties,Windham County,2018,renter,3-person,1760,0.13
2_counties,Windham County,2018,renter,4-person or more,2776,0.206
3_towns,Andover,2000,renter,total,150,NA
3_towns,Andover,2000,renter,1-person,72,0.48
3_towns,Andover,2000,renter,2-person,37,0.247
3_towns,Andover,2000,renter,3-person,20,0.133
3_towns,Andover,2000,renter,4-person or more,21,0.14
3_towns,Andover,2010,renter,total,132,NA
3_towns,Andover,2010,renter,1-person,47,0.356
3_towns,Andover,2010,renter,2-person,69,0.523
3_towns,Andover,2010,renter,3-person,0,0
3_towns,Andover,2010,renter,4-person or more,16,0.121
3_towns,Andover,2018,renter,total,156,NA
3_towns,Andover,2018,renter,1-person,105,0.673
3_towns,Andover,2018,renter,2-person,51,0.327
3_towns,Andover,2018,renter,3-person,0,0
3_towns,Andover,2018,renter,4-person or more,0,0
3_towns,Ansonia,2000,renter,total,3336,NA
3_towns,Ansonia,2000,renter,1-person,1246,0.374
3_towns,Ansonia,2000,renter,2-person,927,0.278
3_towns,Ansonia,2000,renter,3-person,539,0.162
3_towns,Ansonia,2000,renter,4-person or more,624,0.187
3_towns,Ansonia,2010,renter,total,3012,NA
3_towns,Ansonia,2010,renter,1-person,987,0.328
3_towns,Ansonia,2010,renter,2-person,872,0.29
3_towns,Ansonia,2010,renter,3-person,602,0.2
3_towns,Ansonia,2010,renter,4-person or more,551,0.183
3_towns,Ansonia,2018,renter,total,3021,NA
3_towns,Ansonia,2018,renter,1-person,1222,0.405
3_towns,Ansonia,2018,renter,2-person,815,0.27
3_towns,Ansonia,2018,renter,3-person,532,0.176
3_towns,Ansonia,2018,renter,4-person or more,452,0.15
3_towns,Ashford,2000,renter,total,422,NA
3_towns,Ashford,2000,renter,1-person,141,0.334
3_towns,Ashford,2000,renter,2-person,161,0.382
3_towns,Ashford,2000,renter,3-person,64,0.152
3_towns,Ashford,2000,renter,4-person or more,56,0.133
3_towns,Ashford,2010,renter,total,337,NA
3_towns,Ashford,2010,renter,1-person,125,0.371
3_towns,Ashford,2010,renter,2-person,126,0.374
3_towns,Ashford,2010,renter,3-person,11,0.033
3_towns,Ashford,2010,renter,4-person or more,75,0.223
3_towns,Ashford,2018,renter,total,478,NA
3_towns,Ashford,2018,renter,1-person,291,0.609
3_towns,Ashford,2018,renter,2-person,66,0.138
3_towns,Ashford,2018,renter,3-person,9,0.019
3_towns,Ashford,2018,renter,4-person or more,112,0.234
3_towns,Avon,2000,renter,total,876,NA
3_towns,Avon,2000,renter,1-person,440,0.502
3_towns,Avon,2000,renter,2-person,262,0.299
3_towns,Avon,2000,renter,3-person,81,0.092
3_towns,Avon,2000,renter,4-person or more,93,0.106
3_towns,Avon,2010,renter,total,1208,NA
3_towns,Avon,2010,renter,1-person,560,0.464
3_towns,Avon,2010,renter,2-person,392,0.325
3_towns,Avon,2010,renter,3-person,101,0.084
