name,year,tenure,commute_time,commuters,tenuer.x,tenuer.y,share
Hartford County,2000,Owner,More than 120 mins,2842,Owner,Owner,0.01
Hartford County,2000,Renter,Total,115335,NA,NA,NA
Hartford County,2000,Renter,Up to 15 mins,36665,Renter,Renter,0.318
Hartford County,2000,Renter,16 to 30 mins,49964,Renter,Renter,0.433
Hartford County,2000,Renter,31 to 60 mins,23830,Renter,Renter,0.207
Hartford County,2000,Renter,61 to 120 mins,3540,Renter,Renter,0.031
Hartford County,2000,Renter,More than 120 mins,1336,Renter,Renter,0.012
Hartford County,2010,Owner,Total,300081,NA,NA,NA
Hartford County,2010,Owner,Up to 15 mins,86863,Owner,Owner,0.289
Hartford County,2010,Owner,16 to 30 mins,131612,Owner,Owner,0.439
Hartford County,2010,Owner,31 to 60 mins,70589,Owner,Owner,0.235
Hartford County,2010,Owner,61 to 120 mins,8996,Owner,Owner,0.03
Hartford County,2010,Owner,More than 120 mins,2021,Owner,Owner,0.007
Hartford County,2010,Renter,Total,111087,NA,NA,NA
Hartford County,2010,Renter,Up to 15 mins,34423,Renter,Renter,0.31
Hartford County,2010,Renter,16 to 30 mins,48726,Renter,Renter,0.439
Hartford County,2010,Renter,31 to 60 mins,23241,Renter,Renter,0.209
Hartford County,2010,Renter,61 to 120 mins,4094,Renter,Renter,0.037
Hartford County,2010,Renter,More than 120 mins,603,Renter,Renter,0.005
Hartford County,2018,Owner,Total,295187,NA,NA,NA
Hartford County,2018,Owner,Up to 15 mins,77457,Owner,Owner,0.262
Hartford County,2018,Owner,16 to 30 mins,126016,Owner,Owner,0.427
Hartford County,2018,Owner,31 to 60 mins,78165,Owner,Owner,0.265
Hartford County,2018,Owner,61 to 120 mins,11313,Owner,Owner,0.038
Hartford County,2018,Owner,More than 120 mins,2236,Owner,Owner,0.008
Hartford County,2018,Renter,Total,122683,NA,NA,NA
Hartford County,2018,Renter,Up to 15 mins,34226,Renter,Renter,0.279
Hartford County,2018,Renter,16 to 30 mins,54679,Renter,Renter,0.446
Hartford County,2018,Renter,31 to 60 mins,27381,Renter,Renter,0.223
Hartford County,2018,Renter,61 to 120 mins,5798,Renter,Renter,0.047
Hartford County,2018,Renter,More than 120 mins,599,Renter,Renter,0.005
Litchfield County,2000,Owner,Total,71452,NA,NA,NA
Litchfield County,2000,Owner,Up to 15 mins,21831,Owner,Owner,0.306
Litchfield County,2000,Owner,16 to 30 mins,22892,Owner,Owner,0.32
Litchfield County,2000,Owner,31 to 60 mins,19685,Owner,Owner,0.275
Litchfield County,2000,Owner,61 to 120 mins,5597,Owner,Owner,0.078
Litchfield County,2000,Owner,More than 120 mins,1447,Owner,Owner,0.02
Litchfield County,2000,Renter,Total,17647,NA,NA,NA
Litchfield County,2000,Renter,Up to 15 mins,6460,Renter,Renter,0.366
Litchfield County,2000,Renter,16 to 30 mins,5771,Renter,Renter,0.327
Litchfield County,2000,Renter,31 to 60 mins,4096,Renter,Renter,0.232
