name,ownershp,disability,cost_burden,value,value_se,share,sharemoe
Middlesex County,Owned or being bought (loan),FALSE,No burden,30021,877.2132356531415,0.757,NA
Middlesex County,Owned or being bought (loan),FALSE,Severely cost-burdened,3648,333.20731947395655,0.092,NA
Middlesex County,Owned or being bought (loan),TRUE,Total,9427,NA,NA,NA
Middlesex County,Owned or being bought (loan),TRUE,Cost-burdened,1944,216.5113094547865,0.206,NA
Middlesex County,Owned or being bought (loan),TRUE,No burden,5635,363.90825059984275,0.598,NA
Middlesex County,Owned or being bought (loan),TRUE,Severely cost-burdened,1848,224.61155984164884,0.196,NA
Middlesex County,Rented,FALSE,Total,12937,NA,NA,NA
Middlesex County,Rented,FALSE,Cost-burdened,3223,390.89136870056353,0.249,NA
Middlesex County,Rented,FALSE,No burden,6833,469.59870402008403,0.528,NA
Middlesex County,Rented,FALSE,Severely cost-burdened,2881,328.30319362278146,0.223,NA
Middlesex County,Rented,TRUE,Total,4880,NA,NA,NA
Middlesex County,Rented,TRUE,Cost-burdened,1064,175.76235589413454,0.218,NA
Middlesex County,Rented,TRUE,No burden,2126,249.60544039763295,0.436,NA
Middlesex County,Rented,TRUE,Severely cost-burdened,1690,231.9877510090013,0.346,NA
New Haven County,Owned or being bought (loan),FALSE,Total,159554,NA,NA,NA
New Haven County,Owned or being bought (loan),FALSE,Cost-burdened,26613,883.6743949998288,0.167,NA
New Haven County,Owned or being bought (loan),FALSE,No burden,115878,1723.9121130619649,0.726,NA
New Haven County,Owned or being bought (loan),FALSE,Severely cost-burdened,17063,714.7036359951375,0.107,NA
New Haven County,Owned or being bought (loan),TRUE,Total,43074,NA,NA,NA
New Haven County,Owned or being bought (loan),TRUE,Cost-burdened,8928,470.4724912487741,0.207,NA
New Haven County,Owned or being bought (loan),TRUE,No burden,26321,765.3055314850399,0.611,NA
New Haven County,Owned or being bought (loan),TRUE,Severely cost-burdened,7825,461.2319587382839,0.182,NA
New Haven County,Rented,FALSE,Total,97349,NA,NA,NA
New Haven County,Rented,FALSE,Cost-burdened,22620,947.7367728201513,0.232,NA
New Haven County,Rented,FALSE,No burden,48873,1331.941196270864,0.502,NA
New Haven County,Rented,FALSE,Severely cost-burdened,25856,980.42769009788606,0.266,NA
New Haven County,Rented,TRUE,Total,29879,NA,NA,NA
New Haven County,Rented,TRUE,Cost-burdened,6844,452.835061963316,0.229,NA
New Haven County,Rented,TRUE,No burden,12644,645.1511057017234,0.423,NA
New Haven County,Rented,TRUE,Severely cost-burdened,10391,584.4217845906695,0.348,NA
New London County,Owned or being bought (loan),FALSE,Total,54024,NA,NA,NA
New London County,Owned or being bought (loan),FALSE,Cost-burdened,7829,428.05094929853374,0.145,NA
New London County,Owned or being bought (loan),FALSE,No burden,41302,965.5570526952108,0.765,NA
New London County,Owned or being bought (loan),FALSE,Severely cost-burdened,4893,341.53713514837153,0.091,NA
New London County,Owned or being bought (loan),TRUE,Total,17306,NA,NA,NA
New London County,Owned or being bought (loan),TRUE,Cost-burdened,3220,287.06504323960684,0.186,NA
New London County,Owned or being bought (loan),TRUE,No burden,11608,528.0679904453099,0.671,NA
New London County,Owned or being bought (loan),TRUE,Severely cost-burdened,2478,254.85675153685673,0.143,NA
New London County,Rented,FALSE,Total,26455,NA,NA,NA
New London County,Rented,FALSE,Cost-burdened,6180,487.9103656148783,0.234,NA
New London County,Rented,FALSE,No burden,14977,729.6670860687037,0.566,NA
New London County,Rented,FALSE,Severely cost-burdened,5298,453.563036597074,0.2,NA
New London County,Rented,TRUE,Total,9617,NA,NA,NA
New London County,Rented,TRUE,Cost-burdened,2395,276.215227702465,0.249,NA
New London County,Rented,TRUE,No burden,4438,427.2115047448217,0.461,NA
New London County,Rented,TRUE,Severely cost-burdened,2784,324.4252343631216,0.289,NA
Tolland County,Owned or being bought (loan),FALSE,Total,31693,NA,NA,NA
Tolland County,Owned or being bought (loan),FALSE,Cost-burdened,4173,327.5880329797939,0.132,NA
Tolland County,Owned or being bought (loan),FALSE,No burden,25207,820.6014113777658,0.795,NA
Tolland County,Owned or being bought (loan),FALSE,Severely cost-burdened,2313,249.7240911250022,0.073,NA
Tolland County,Owned or being bought (loan),TRUE,Total,8022,NA,NA,NA
Tolland County,Owned or being bought (loan),TRUE,Cost-burdened,1283,175.698966216046,0.16,NA
Tolland County,Owned or being bought (loan),TRUE,No burden,5694,367.571472462249,0.71,NA
Tolland County,Owned or being bought (loan),TRUE,Severely cost-burdened,1045,163.29088559574265,0.13,NA
Tolland County,Rented,FALSE,Total,11886,NA,NA,NA
Tolland County,Rented,FALSE,Cost-burdened,2490,307.34595729182865,0.209,NA
Tolland County,Rented,FALSE,No burden,6247,545.5827877376244,0.526,NA
Tolland County,Rented,FALSE,Severely cost-burdened,3149,389.3080040088352,0.265,NA
Tolland County,Rented,TRUE,Total,3617,NA,NA,NA
Tolland County,Rented,TRUE,Cost-burdened,831,191.425546399928,0.23,NA
Tolland County,Rented,TRUE,No burden,1461,241.88344584461382,0.404,NA
Tolland County,Rented,TRUE,Severely cost-burdened,1325,259.6480177555052,0.366,NA
Windham County,Owned or being bought (loan),FALSE,Total,22965,NA,NA,NA
Windham County,Owned or being bought (loan),FALSE,Cost-burdened,3487,322.7821064632636,0.152,NA
Windham County,Owned or being bought (loan),FALSE,No burden,17653,655.5334357212424,0.769,NA
Windham County,Owned or being bought (loan),FALSE,Severely cost-burdened,1825,231.14192885885478,0.079,NA
Windham County,Owned or being bought (loan),TRUE,Total,8087,NA,NA,NA
Windham County,Owned or being bought (loan),TRUE,Cost-burdened,1327,190.9203485602297,0.164,NA
Windham County,Owned or being bought (loan),TRUE,No burden,5643,377.2771892177338,0.698,NA
Windham County,Owned or being bought (loan),TRUE,Severely cost-burdened,1117,154.95054488014398,0.138,NA
Windham County,Rented,FALSE,Total,9209,NA,NA,NA
Windham County,Rented,FALSE,Cost-burdened,2153,299.5039696104466,0.234,NA
Windham County,Rented,FALSE,No burden,5510,459.1960950554649,0.598,NA
Windham County,Rented,FALSE,Severely cost-burdened,1546,217.25750102565627,0.168,NA
Windham County,Rented,TRUE,Total,4202,NA,NA,NA
Windham County,Rented,TRUE,Cost-burdened,1358,216.30660459740278,0.323,NA
Windham County,Rented,TRUE,No burden,1685,241.15475738103137,0.401,NA
Windham County,Rented,TRUE,Severely cost-burdened,1159,194.44925586510752,0.276,NA
