level,name,year,tenure,hhlds,value,share
2_counties,New London County,2010,owner,4-person or more,17859,0.241
2_counties,New London County,2018,owner,total,71459,NA
2_counties,New London County,2018,owner,1-person,16753,0.234
2_counties,New London County,2018,owner,2-person,28869,0.404
2_counties,New London County,2018,owner,3-person,11136,0.156
2_counties,New London County,2018,owner,4-person or more,14701,0.206
2_counties,Tolland County,2000,owner,total,36309,NA
2_counties,Tolland County,2000,owner,1-person,5949,0.164
2_counties,Tolland County,2000,owner,2-person,13524,0.372
2_counties,Tolland County,2000,owner,3-person,6470,0.178
2_counties,Tolland County,2000,owner,4-person or more,10366,0.285
2_counties,Tolland County,2010,owner,total,41615,NA
2_counties,Tolland County,2010,owner,1-person,6828,0.164
2_counties,Tolland County,2010,owner,2-person,15794,0.38
2_counties,Tolland County,2010,owner,3-person,7571,0.182
2_counties,Tolland County,2010,owner,4-person or more,11422,0.274
2_counties,Tolland County,2018,owner,total,39798,NA
2_counties,Tolland County,2018,owner,1-person,7710,0.194
2_counties,Tolland County,2018,owner,2-person,16607,0.417
2_counties,Tolland County,2018,owner,3-person,6711,0.169
2_counties,Tolland County,2018,owner,4-person or more,8770,0.22
2_counties,Windham County,2000,owner,total,27736,NA
2_counties,Windham County,2000,owner,1-person,4923,0.177
2_counties,Windham County,2000,owner,2-person,10160,0.366
2_counties,Windham County,2000,owner,3-person,5078,0.183
2_counties,Windham County,2000,owner,4-person or more,7575,0.273
2_counties,Windham County,2010,owner,total,31366,NA
2_counties,Windham County,2010,owner,1-person,6084,0.194
2_counties,Windham County,2010,owner,2-person,11835,0.377
2_counties,Windham County,2010,owner,3-person,5493,0.175
2_counties,Windham County,2010,owner,4-person or more,7954,0.254
2_counties,Windham County,2018,owner,total,30960,NA
2_counties,Windham County,2018,owner,1-person,6571,0.212
2_counties,Windham County,2018,owner,2-person,12955,0.418
2_counties,Windham County,2018,owner,3-person,4925,0.159
2_counties,Windham County,2018,owner,4-person or more,6509,0.21
3_towns,Andover,2000,owner,total,1000,NA
3_towns,Andover,2000,owner,1-person,146,0.146
3_towns,Andover,2000,owner,2-person,377,0.377
3_towns,Andover,2000,owner,3-person,184,0.184
3_towns,Andover,2000,owner,4-person or more,293,0.293
3_towns,Andover,2010,owner,total,1144,NA
3_towns,Andover,2010,owner,1-person,212,0.185
3_towns,Andover,2010,owner,2-person,505,0.441
3_towns,Andover,2010,owner,3-person,152,0.133
3_towns,Andover,2010,owner,4-person or more,275,0.24
3_towns,Andover,2018,owner,total,1079,NA
3_towns,Andover,2018,owner,1-person,170,0.158
3_towns,Andover,2018,owner,2-person,408,0.378
3_towns,Andover,2018,owner,3-person,265,0.246
3_towns,Andover,2018,owner,4-person or more,236,0.219
3_towns,Ansonia,2000,owner,total,4171,NA
3_towns,Ansonia,2000,owner,1-person,897,0.215
3_towns,Ansonia,2000,owner,2-person,1447,0.347
3_towns,Ansonia,2000,owner,3-person,763,0.183
3_towns,Ansonia,2000,owner,4-person or more,1064,0.255
3_towns,Ansonia,2010,owner,total,4610,NA
3_towns,Ansonia,2010,owner,1-person,1094,0.237
3_towns,Ansonia,2010,owner,2-person,1508,0.327
3_towns,Ansonia,2010,owner,3-person,914,0.198
3_towns,Ansonia,2010,owner,4-person or more,1094,0.237
3_towns,Ansonia,2018,owner,total,4431,NA
