name,race2,cost_burden,value,value_se,share,sharemoe
New Haven County,White,Total,226283,2321.114938393454,NA,NA
New Haven County,White,No burden,151334,1925.56728291201,0.669,0.005
New Haven County,White,Cost-burdened,41231,1047.6854228565912,0.182,0.004
New Haven County,White,Severely cost-burdened,33718,970.947758409847,0.149,0.004
New Haven County,Black,Total,39815,1229.6779082572245,NA,NA
New Haven County,Black,No burden,19268,831.8127245012414,0.484,0.015
New Haven County,Black,Cost-burdened,9405,624.4484894086999,0.236,0.014
New Haven County,Black,Severely cost-burdened,11142,666.663540520474,0.28,0.014
New Haven County,Latino,Total,46620,1383.6860336394718,NA,NA
New Haven County,Latino,No burden,22823,960.2904220293283,0.49,0.015
New Haven County,Latino,Cost-burdened,11052,706.5375700372325,0.237,0.013
New Haven County,Latino,Severely cost-burdened,12745,715.9650836290116,0.273,0.013
New Haven County,Other race,Total,17138,744.3134922916331,NA,NA
New Haven County,Other race,No burden,10291,568.8337680829732,0.6,0.021
New Haven County,Other race,Cost-burdened,3317,332.51880919012507,0.194,0.017
New Haven County,Other race,Severely cost-burdened,3530,349.5558186112832,0.206,0.018
New London County,White,Total,87282,1438.1432353934947,NA,NA
New London County,White,No burden,60284,1180.549887153518,0.691,0.007
New London County,White,Cost-burdened,15636,642.5073364177475,0.179,0.007
New London County,White,Severely cost-burdened,11362,559.3481055590563,0.13,0.006
New London County,Black,Total,4750,459.34897221013927,NA,NA
New London County,Black,No burden,2716,347.15305715103204,0.572,0.048
New London County,Black,Cost-burdened,942,180.54333426128375,0.198,0.033
New London County,Black,Severely cost-burdened,1092,240.98949317588165,0.23,0.046
New London County,Latino,Total,8720,635.6751805184217,NA,NA
New London County,Latino,No burden,4682,474.454171236029,0.537,0.038
New London County,Latino,Cost-burdened,2003,300.1823805648362,0.23,0.03
New London County,Latino,Severely cost-burdened,2035,299.1949588153221,0.233,0.03
New London County,Other race,Total,6650,487.320350383648,NA,NA
New London County,Other race,No burden,4643,405.0877024318312,0.698,0.033
New London County,Other race,Cost-burdened,1043,206.28668759533275,0.157,0.029
New London County,Other race,Severely cost-burdened,964,176.4179154433757,0.145,0.024
Tolland County,White,Total,48703,1178.8659002409113,NA,NA
Tolland County,White,No burden,34653,970.6045875261201,0.712,0.01
Tolland County,White,Cost-burdened,7684,471.6132143470942,0.158,0.009
Tolland County,White,Severely cost-burdened,6366,490.31368781146233,0.131,0.01
Tolland County,Black,Total,1657,328.15186045176335,NA,NA
Tolland County,Black,No burden,926,255.55582960186962,0.559,0.107
Tolland County,Black,Cost-burdened,286,123.47897632370574,0.173,0.066
Tolland County,Black,Severely cost-burdened,445,164.77433122569312,0.269,0.084
Tolland County,Latino,Total,2218,359.608350058492,NA,NA
Tolland County,Latino,No burden,1390,301.2207234523852,0.627,0.09
