level,geoid,name,year,county,var,estimate,moe,share,sharemoe
1_state,09,Connecticut,2013,NA,black,337758,1896,0.094,NA
1_state,09,Connecticut,2013,NA,asian,140592,1234,0.039,NA
1_state,09,Connecticut,2013,NA,other_race,81871,2480,0.023,NA
1_state,09,Connecticut,2014,NA,total_pop,3592053,NA,NA,NA
1_state,09,Connecticut,2014,NA,latino,512795,NA,0.143,NA
1_state,09,Connecticut,2014,NA,white,2508360,979,0.698,NA
1_state,09,Connecticut,2014,NA,black,342043,1638,0.095,NA
1_state,09,Connecticut,2014,NA,asian,144619,1301,0.04,NA
1_state,09,Connecticut,2014,NA,other_race,84236,2788,0.023,NA
1_state,09,Connecticut,2015,NA,total_pop,3593222,NA,NA,NA
1_state,09,Connecticut,2015,NA,latino,526508,NA,0.147,NA
1_state,09,Connecticut,2015,NA,white,2487119,1188,0.692,NA
1_state,09,Connecticut,2015,NA,black,346206,2085,0.096,NA
1_state,09,Connecticut,2015,NA,asian,149368,1087,0.042,NA
1_state,09,Connecticut,2015,NA,other_race,84021,2609,0.023,NA
1_state,09,Connecticut,2016,NA,total_pop,3588570,NA,NA,NA
1_state,09,Connecticut,2016,NA,latino,537728,NA,0.15,NA
1_state,09,Connecticut,2016,NA,white,2464450,1118,0.687,NA
1_state,09,Connecticut,2016,NA,black,347674,1972,0.097,NA
1_state,09,Connecticut,2016,NA,asian,151376,1400,0.042,NA
1_state,09,Connecticut,2016,NA,other_race,87342,2562,0.024,NA
1_state,09,Connecticut,2017,NA,total_pop,3594478,NA,NA,NA
1_state,09,Connecticut,2017,NA,latino,551916,NA,0.154,NA
1_state,09,Connecticut,2017,NA,white,2446049,1131,0.681,NA
1_state,09,Connecticut,2017,NA,black,350820,1829,0.098,NA
1_state,09,Connecticut,2017,NA,asian,154910,1516,0.043,NA
1_state,09,Connecticut,2017,NA,other_race,90783,2818,0.025,NA
1_state,09,Connecticut,2018,NA,total_pop,3581504,NA,NA,NA
1_state,09,Connecticut,2018,NA,latino,561791,NA,0.157,NA
1_state,09,Connecticut,2018,NA,white,2418696,1034,0.675,NA
1_state,09,Connecticut,2018,NA,black,351817,1870,0.098,NA
1_state,09,Connecticut,2018,NA,asian,157406,1395,0.044,NA
1_state,09,Connecticut,2018,NA,other_race,91794,2853,0.026,NA
2_counties,09001,Fairfield County,2000,NA,total_pop,882567,0,NA,NA
2_counties,09001,Fairfield County,2000,NA,latino,104835,0,0.119,NA
2_counties,09001,Fairfield County,2000,NA,white,645152,0,0.731,NA
2_counties,09001,Fairfield County,2000,NA,black,84724,0,0.096,NA
2_counties,09001,Fairfield County,2000,NA,asian,28473,0,0.032,NA
2_counties,09001,Fairfield County,2000,NA,other_race,19383,0,0.022,NA
2_counties,09001,Fairfield County,2001,NA,total_pop,889063,NA,NA,NA
2_counties,09001,Fairfield County,2001,NA,white,649332,NA,0.73,NA
2_counties,09001,Fairfield County,2001,NA,black,88920,NA,0.1,NA
2_counties,09001,Fairfield County,2001,NA,latino,110601,NA,0.124,NA
2_counties,09001,Fairfield County,2001,NA,asian,31209,NA,0.035,NA
2_counties,09001,Fairfield County,2001,NA,other_race,9001,NA,0.01,NA
2_counties,09001,Fairfield County,2002,NA,total_pop,892900,NA,NA,NA
2_counties,09001,Fairfield County,2002,NA,white,645753,NA,0.723,NA
2_counties,09001,Fairfield County,2002,NA,black,89341,NA,0.1,NA
2_counties,09001,Fairfield County,2002,NA,latino,115478,NA,0.129,NA
2_counties,09001,Fairfield County,2002,NA,asian,32945,NA,0.037,NA
2_counties,09001,Fairfield County,2002,NA,other_race,9383,NA,0.011,NA
2_counties,09001,Fairfield County,2003,NA,total_pop,896342,NA,NA,NA
2_counties,09001,Fairfield County,2003,NA,white,641968,NA,0.716,NA
2_counties,09001,Fairfield County,2003,NA,black,90243,NA,0.101,NA
2_counties,09001,Fairfield County,2003,NA,latino,120074,NA,0.134,NA
2_counties,09001,Fairfield County,2003,NA,asian,34231,NA,0.038,NA
2_counties,09001,Fairfield County,2003,NA,other_race,9826,NA,0.011,NA
2_counties,09001,Fairfield County,2004,NA,total_pop,897472,NA,NA,NA
2_counties,09001,Fairfield County,2004,NA,white,636691,NA,0.709,NA
2_counties,09001,Fairfield County,2004,NA,black,90675,NA,0.101,NA
2_counties,09001,Fairfield County,2004,NA,latino,124516,NA,0.139,NA
2_counties,09001,Fairfield County,2004,NA,asian,35353,NA,0.039,NA
2_counties,09001,Fairfield County,2004,NA,other_race,10237,NA,0.011,NA
2_counties,09001,Fairfield County,2005,NA,total_pop,897653,NA,NA,NA
