year,name,tenure,occupancy,cost_group,units
2000,Connecticut,renter,vacant,"$2,301 and up",979
2010,Connecticut,owner,vacant,Up to $600,349
2010,Connecticut,owner,vacant,"$601 to $1,000",350
2010,Connecticut,owner,vacant,"$1,001 to $1,500",649
2010,Connecticut,owner,vacant,"$1,500 to $2,300",2996
2010,Connecticut,owner,vacant,"$2,301 and up",8876
2010,Connecticut,renter,vacant,Up to $600,2911
2010,Connecticut,renter,vacant,"$601 to $1,000",5729
2010,Connecticut,renter,vacant,"$1,001 to $1,500",15479
2010,Connecticut,renter,vacant,"$1,500 to $2,300",5502
2010,Connecticut,renter,vacant,"$2,301 and up",2593
2018,Connecticut,owner,vacant,Up to $600,652
2018,Connecticut,owner,vacant,"$601 to $1,000",1578
2018,Connecticut,owner,vacant,"$1,001 to $1,500",3130
2018,Connecticut,owner,vacant,"$1,500 to $2,300",3978
2018,Connecticut,owner,vacant,"$2,301 and up",8071
2018,Connecticut,renter,vacant,Up to $600,2488
2018,Connecticut,renter,vacant,"$601 to $1,000",5447
2018,Connecticut,renter,vacant,"$1,001 to $1,500",12504
2018,Connecticut,renter,vacant,"$1,500 to $2,300",8197
2018,Connecticut,renter,vacant,"$2,301 and up",2924
