year,level,geoid,name,county,var,estimate,moe
1990,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12358,0
2000,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12043,0
2010,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12498,0
2011,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12466,41
2012,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12500,24
2013,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12531,24
2014,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12554,23
2015,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12564,39
2016,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12537,32
2017,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12563,33
2018,3_towns,0900387070,Windsor Locks,Hartford County,total_pop,12613,28
1990,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3369,0
2000,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3494,0
2010,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3799,0
2011,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3783,26
2012,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3791,41
2013,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3772,18
2014,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3749,22
2015,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3731,19
2016,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3710,17
2017,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3693,17
2018,3_towns,0900502760,Barkhamsted,Litchfield County,total_pop,3671,22
1990,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3071,0
2000,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3422,0
2010,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3607,0
2011,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3596,16
2012,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3594,16
2013,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3585,18
2014,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3551,18
2015,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3523,19
2016,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3492,27
2017,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3490,25
2018,3_towns,0900504930,Bethlehem,Litchfield County,total_pop,3452,24
1990,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1654,0
2000,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1824,0
2010,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1727,0
2011,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1790,101
2012,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1704,112
2013,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1729,110
2014,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1747,116
2015,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1679,104
2016,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1668,114
2017,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1681,116
2018,3_towns,0900508210,Bridgewater,Litchfield County,total_pop,1706,111
1990,3_towns,0900510940,Canaan,Litchfield County,total_pop,1057,0
2000,3_towns,0900510940,Canaan,Litchfield County,total_pop,1081,0
2010,3_towns,0900510940,Canaan,Litchfield County,total_pop,1234,0
2011,3_towns,0900510940,Canaan,Litchfield County,total_pop,1183,122
2012,3_towns,0900510940,Canaan,Litchfield County,total_pop,1195,95
2013,3_towns,0900510940,Canaan,Litchfield County,total_pop,1148,108
2014,3_towns,0900510940,Canaan,Litchfield County,total_pop,1240,144
2015,3_towns,0900510940,Canaan,Litchfield County,total_pop,1149,139
2016,3_towns,0900510940,Canaan,Litchfield County,total_pop,1181,125
2017,3_towns,0900510940,Canaan,Litchfield County,total_pop,1128,133
2018,3_towns,0900510940,Canaan,Litchfield County,total_pop,1196,127
1990,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1365,0
2000,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1471,0
2010,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1485,0
2011,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1395,97
2012,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1493,100
2013,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1523,119
2014,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1594,131
2015,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1633,155
2016,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1585,153
2017,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1471,150
2018,3_towns,0900516050,Colebrook,Litchfield County,total_pop,1518,155
1990,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1414,0
2000,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1434,0
2010,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1420,0
2011,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1469,207
2012,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1393,200
2013,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1519,188
2014,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1505,203
2015,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1362,125
2016,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1336,105
2017,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1364,151
2018,3_towns,0900517240,Cornwall,Litchfield County,total_pop,1302,127
1990,3_towns,0900532290,Goshen,Litchfield County,total_pop,2329,0
2000,3_towns,0900532290,Goshen,Litchfield County,total_pop,2697,0
2010,3_towns,0900532290,Goshen,Litchfield County,total_pop,2976,0
2011,3_towns,0900532290,Goshen,Litchfield County,total_pop,2957,18
2012,3_towns,0900532290,Goshen,Litchfield County,total_pop,2957,23
2013,3_towns,0900532290,Goshen,Litchfield County,total_pop,2953,29
2014,3_towns,0900532290,Goshen,Litchfield County,total_pop,2956,29
2015,3_towns,0900532290,Goshen,Litchfield County,total_pop,2943,33
2016,3_towns,0900532290,Goshen,Litchfield County,total_pop,2919,19
2017,3_towns,0900532290,Goshen,Litchfield County,total_pop,2914,15
2018,3_towns,0900532290,Goshen,Litchfield County,total_pop,2903,21
1990,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5228,0
2000,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5283,0
2010,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5642,0
2011,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5618,28
2012,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5620,29
2013,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5636,54
2014,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5592,27
2015,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5571,21
2016,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5541,24
2017,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5526,36
2018,3_towns,0900537280,Harwinton,Litchfield County,total_pop,5469,31
1990,3_towns,0900540290,Kent,Litchfield County,total_pop,2918,0
2000,3_towns,0900540290,Kent,Litchfield County,total_pop,2858,0
2010,3_towns,0900540290,Kent,Litchfield County,total_pop,2979,0
2011,3_towns,0900540290,Kent,Litchfield County,total_pop,2982,29
2012,3_towns,0900540290,Kent,Litchfield County,total_pop,2971,14
2013,3_towns,0900540290,Kent,Litchfield County,total_pop,2964,16
2014,3_towns,0900540290,Kent,Litchfield County,total_pop,2951,19
2015,3_towns,0900540290,Kent,Litchfield County,total_pop,2917,22
2016,3_towns,0900540290,Kent,Litchfield County,total_pop,2881,27
2017,3_towns,0900540290,Kent,Litchfield County,total_pop,2853,22
2018,3_towns,0900540290,Kent,Litchfield County,total_pop,2824,18
1990,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8365,0
2000,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8316,0
2010,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8466,0
2011,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8484,23
2012,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8454,29
2013,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8406,22
2014,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8365,19
2015,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8306,35
2016,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8277,29
2017,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8252,19
2018,3_towns,0900543370,Litchfield,Litchfield County,total_pop,8198,23
1990,3_towns,0900549460,Morris,Litchfield County,total_pop,2039,0
2000,3_towns,0900549460,Morris,Litchfield County,total_pop,2301,0
2010,3_towns,0900549460,Morris,Litchfield County,total_pop,2388,0
2011,3_towns,0900549460,Morris,Litchfield County,total_pop,2411,228
2012,3_towns,0900549460,Morris,Litchfield County,total_pop,2469,195
2013,3_towns,0900549460,Morris,Litchfield County,total_pop,2380,127
2014,3_towns,0900549460,Morris,Litchfield County,total_pop,2289,148
2015,3_towns,0900549460,Morris,Litchfield County,total_pop,2314,170
2016,3_towns,0900549460,Morris,Litchfield County,total_pop,2353,153
2017,3_towns,0900549460,Morris,Litchfield County,total_pop,2367,166
2018,3_towns,0900549460,Morris,Litchfield County,total_pop,2288,191
1990,3_towns,0900551350,New Hartford,Litchfield County,total_pop,5769,0
2000,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6088,0
2010,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6970,0
2011,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6901,21
2012,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6924,18
2013,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6932,23
2014,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6910,34
2015,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6853,27
2016,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6824,21
2017,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6794,18
2018,3_towns,0900551350,New Hartford,Litchfield County,total_pop,6755,40
1990,3_towns,0900552630,New Milford,Litchfield County,total_pop,23629,0
2000,3_towns,0900552630,New Milford,Litchfield County,total_pop,27121,0
2010,3_towns,0900552630,New Milford,Litchfield County,total_pop,28142,0
2011,3_towns,0900552630,New Milford,Litchfield County,total_pop,28122,28
2012,3_towns,0900552630,New Milford,Litchfield County,total_pop,28067,31
2013,3_towns,0900552630,New Milford,Litchfield County,total_pop,27983,27
2014,3_towns,0900552630,New Milford,Litchfield County,total_pop,27821,42
2015,3_towns,0900552630,New Milford,Litchfield County,total_pop,27670,30
2016,3_towns,0900552630,New Milford,Litchfield County,total_pop,27501,31
2017,3_towns,0900552630,New Milford,Litchfield County,total_pop,27380,27
2018,3_towns,0900552630,New Milford,Litchfield County,total_pop,27196,30
1990,3_towns,0900553470,Norfolk,Litchfield County,total_pop,2060,0
2000,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1660,0
2010,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1709,0
2011,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1574,168
2012,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1492,149
2013,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1497,154
2014,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1486,198
2015,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1550,165
2016,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1447,138
2017,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1442,154
2018,3_towns,0900553470,Norfolk,Litchfield County,total_pop,1503,140
1990,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3284,0
2000,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3350,0
2010,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3315,0
2011,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3329,14
2012,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3301,21
2013,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3286,17
2014,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3262,16
2015,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3239,16
2016,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3230,26
2017,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3331,17
2018,3_towns,0900554030,North Canaan,Litchfield County,total_pop,3302,21
1990,3_towns,0900560750,Plymouth,Litchfield County,total_pop,11822,0
2000,3_towns,0900560750,Plymouth,Litchfield County,total_pop,11634,0
2010,3_towns,0900560750,Plymouth,Litchfield County,total_pop,12243,0
2011,3_towns,0900560750,Plymouth,Litchfield County,total_pop,12218,21
2012,3_towns,0900560750,Plymouth,Litchfield County,total_pop,12193,18
2013,3_towns,0900560750,Plymouth,Litchfield County,total_pop,12148,38
2014,3_towns,0900560750,Plymouth,Litchfield County,total_pop,12085,20
2015,3_towns,0900560750,Plymouth,Litchfield County,total_pop,12004,20
2016,3_towns,0900560750,Plymouth,Litchfield County,total_pop,11926,20
2017,3_towns,0900560750,Plymouth,Litchfield County,total_pop,11888,36
2018,3_towns,0900560750,Plymouth,Litchfield County,total_pop,11782,22
1990,3_towns,0900565930,Roxbury,Litchfield County,total_pop,1825,0
2000,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2136,0
2010,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2262,0
2011,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2315,178
2012,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2322,175
2013,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2301,204
2014,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2273,166
2015,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2271,190
2016,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2260,187
2017,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2231,194
2018,3_towns,0900565930,Roxbury,Litchfield County,total_pop,2103,158
1990,3_towns,0900566420,Salisbury,Litchfield County,total_pop,4090,0
2000,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3977,0
2010,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3741,0
2011,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3783,24
2012,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3747,17
2013,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3722,19
2014,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3708,28
2015,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3685,21
2016,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3669,23
2017,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3658,20
2018,3_towns,0900566420,Salisbury,Litchfield County,total_pop,3631,22
1990,3_towns,0900567960,Sharon,Litchfield County,total_pop,2928,0
2000,3_towns,0900567960,Sharon,Litchfield County,total_pop,2968,0
2010,3_towns,0900567960,Sharon,Litchfield County,total_pop,2782,0
2011,3_towns,0900567960,Sharon,Litchfield County,total_pop,2804,26
2012,3_towns,0900567960,Sharon,Litchfield County,total_pop,2789,15
2013,3_towns,0900567960,Sharon,Litchfield County,total_pop,2769,18
2014,3_towns,0900567960,Sharon,Litchfield County,total_pop,2746,29
2015,3_towns,0900567960,Sharon,Litchfield County,total_pop,2736,16
2016,3_towns,0900567960,Sharon,Litchfield County,total_pop,2726,18
2017,3_towns,0900567960,Sharon,Litchfield County,total_pop,2733,22
2018,3_towns,0900567960,Sharon,Litchfield County,total_pop,2721,27
1990,3_towns,0900575730,Thomaston,Litchfield County,total_pop,6947,0
2000,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7503,0
2010,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7887,0
2011,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7862,31
2012,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7865,32
2013,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7831,18
2014,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7793,22
2015,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7736,19
2016,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7699,33
2017,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7668,26
2018,3_towns,0900575730,Thomaston,Litchfield County,total_pop,7623,19
1990,3_towns,0900576570,Torrington,Litchfield County,total_pop,33687,0
2000,3_towns,0900576570,Torrington,Litchfield County,total_pop,35202,0
2010,3_towns,0900576570,Torrington,Litchfield County,total_pop,36383,0
2011,3_towns,0900576570,Torrington,Litchfield County,total_pop,36380,32
2012,3_towns,0900576570,Torrington,Litchfield County,total_pop,36239,37
2013,3_towns,0900576570,Torrington,Litchfield County,total_pop,36061,38
2014,3_towns,0900576570,Torrington,Litchfield County,total_pop,35774,56
2015,3_towns,0900576570,Torrington,Litchfield County,total_pop,35493,60
2016,3_towns,0900576570,Torrington,Litchfield County,total_pop,35227,32
2017,3_towns,0900576570,Torrington,Litchfield County,total_pop,35078,27
2018,3_towns,0900576570,Torrington,Litchfield County,total_pop,34737,29
1990,3_towns,0900579510,Warren,Litchfield County,total_pop,1226,0
2000,3_towns,0900579510,Warren,Litchfield County,total_pop,1254,0
2010,3_towns,0900579510,Warren,Litchfield County,total_pop,1461,0
2011,3_towns,0900579510,Warren,Litchfield County,total_pop,1531,139
2012,3_towns,0900579510,Warren,Litchfield County,total_pop,1560,141
2013,3_towns,0900579510,Warren,Litchfield County,total_pop,1475,124
2014,3_towns,0900579510,Warren,Litchfield County,total_pop,1390,92
2015,3_towns,0900579510,Warren,Litchfield County,total_pop,1464,107
2016,3_towns,0900579510,Warren,Litchfield County,total_pop,1495,132
2017,3_towns,0900579510,Warren,Litchfield County,total_pop,1467,108
2018,3_towns,0900579510,Warren,Litchfield County,total_pop,1432,121
1990,3_towns,0900579720,Washington,Litchfield County,total_pop,3905,0
2000,3_towns,0900579720,Washington,Litchfield County,total_pop,3596,0
2010,3_towns,0900579720,Washington,Litchfield County,total_pop,3578,0
2011,3_towns,0900579720,Washington,Litchfield County,total_pop,3586,39
2012,3_towns,0900579720,Washington,Litchfield County,total_pop,3574,21
2013,3_towns,0900579720,Washington,Litchfield County,total_pop,3562,22
2014,3_towns,0900579720,Washington,Litchfield County,total_pop,3529,23
2015,3_towns,0900579720,Washington,Litchfield County,total_pop,3517,21
2016,3_towns,0900579720,Washington,Litchfield County,total_pop,3497,21
2017,3_towns,0900579720,Washington,Litchfield County,total_pop,3489,19
2018,3_towns,0900579720,Washington,Litchfield County,total_pop,3472,23
1990,3_towns,0900580490,Watertown,Litchfield County,total_pop,20456,0
2000,3_towns,0900580490,Watertown,Litchfield County,total_pop,21661,0
2010,3_towns,0900580490,Watertown,Litchfield County,total_pop,22514,0
2011,3_towns,0900580490,Watertown,Litchfield County,total_pop,22502,26
2012,3_towns,0900580490,Watertown,Litchfield County,total_pop,22449,22
2013,3_towns,0900580490,Watertown,Litchfield County,total_pop,22387,25
2014,3_towns,0900580490,Watertown,Litchfield County,total_pop,22286,33
2015,3_towns,0900580490,Watertown,Litchfield County,total_pop,22161,37
2016,3_towns,0900580490,Watertown,Litchfield County,total_pop,22048,38
2017,3_towns,0900580490,Watertown,Litchfield County,total_pop,21976,36
2018,3_towns,0900580490,Watertown,Litchfield County,total_pop,21832,28
1990,3_towns,0900586440,Winchester,Litchfield County,total_pop,11524,0
2000,3_towns,0900586440,Winchester,Litchfield County,total_pop,10664,0
2010,3_towns,0900586440,Winchester,Litchfield County,total_pop,11242,0
2011,3_towns,0900586440,Winchester,Litchfield County,total_pop,11216,20
2012,3_towns,0900586440,Winchester,Litchfield County,total_pop,11189,21
2013,3_towns,0900586440,Winchester,Litchfield County,total_pop,11150,32
2014,3_towns,0900586440,Winchester,Litchfield County,total_pop,11089,45
2015,3_towns,0900586440,Winchester,Litchfield County,total_pop,11006,38
2016,3_towns,0900586440,Winchester,Litchfield County,total_pop,10926,24
2017,3_towns,0900586440,Winchester,Litchfield County,total_pop,10894,19
2018,3_towns,0900586440,Winchester,Litchfield County,total_pop,10798,24
1990,3_towns,0900587910,Woodbury,Litchfield County,total_pop,8131,0
2000,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9198,0
2010,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9975,0
2011,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9928,26
2012,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9925,22
2013,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9910,32
2014,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9851,18
2015,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9791,32
2016,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9723,20
2017,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9686,28
2018,3_towns,0900587910,Woodbury,Litchfield County,total_pop,9617,26
1990,3_towns,0900714300,Chester,Middlesex County,total_pop,3417,0
2000,3_towns,0900714300,Chester,Middlesex County,total_pop,3743,0
2010,3_towns,0900714300,Chester,Middlesex County,total_pop,3994,0
2011,3_towns,0900714300,Chester,Middlesex County,total_pop,3984,17
2012,3_towns,0900714300,Chester,Middlesex County,total_pop,4090,31
2013,3_towns,0900714300,Chester,Middlesex County,total_pop,4154,16
2014,3_towns,0900714300,Chester,Middlesex County,total_pop,4223,23
2015,3_towns,0900714300,Chester,Middlesex County,total_pop,4263,20
2016,3_towns,0900714300,Chester,Middlesex County,total_pop,4290,31
2017,3_towns,0900714300,Chester,Middlesex County,total_pop,4286,21
2018,3_towns,0900714300,Chester,Middlesex County,total_pop,4268,27
1990,3_towns,0900715350,Clinton,Middlesex County,total_pop,12767,0
2000,3_towns,0900715350,Clinton,Middlesex County,total_pop,13094,0
2010,3_towns,0900715350,Clinton,Middlesex County,total_pop,13260,0
2011,3_towns,0900715350,Clinton,Middlesex County,total_pop,13291,37
2012,3_towns,0900715350,Clinton,Middlesex County,total_pop,13259,33
2013,3_towns,0900715350,Clinton,Middlesex County,total_pop,13239,31
2014,3_towns,0900715350,Clinton,Middlesex County,total_pop,13188,44
2015,3_towns,0900715350,Clinton,Middlesex County,total_pop,13167,42
2016,3_towns,0900715350,Clinton,Middlesex County,total_pop,13072,58
2017,3_towns,0900715350,Clinton,Middlesex County,total_pop,13041,27
2018,3_towns,0900715350,Clinton,Middlesex County,total_pop,12976,32
1990,3_towns,0900718080,Cromwell,Middlesex County,total_pop,12286,0
2000,3_towns,0900718080,Cromwell,Middlesex County,total_pop,12871,0
2010,3_towns,0900718080,Cromwell,Middlesex County,total_pop,14005,0
2011,3_towns,0900718080,Cromwell,Middlesex County,total_pop,13951,29
2012,3_towns,0900718080,Cromwell,Middlesex County,total_pop,14059,40
2013,3_towns,0900718080,Cromwell,Middlesex County,total_pop,14076,21
2014,3_towns,0900718080,Cromwell,Middlesex County,total_pop,14077,54
2015,3_towns,0900718080,Cromwell,Middlesex County,total_pop,14086,25
2016,3_towns,0900718080,Cromwell,Middlesex County,total_pop,14049,28
2017,3_towns,0900718080,Cromwell,Middlesex County,total_pop,14021,23
2018,3_towns,0900718080,Cromwell,Middlesex County,total_pop,13973,26
1990,3_towns,0900719130,Deep River,Middlesex County,total_pop,4332,0
2000,3_towns,0900719130,Deep River,Middlesex County,total_pop,4610,0
2010,3_towns,0900719130,Deep River,Middlesex County,total_pop,4629,0
2011,3_towns,0900719130,Deep River,Middlesex County,total_pop,4652,21
2012,3_towns,0900719130,Deep River,Middlesex County,total_pop,4636,20
2013,3_towns,0900719130,Deep River,Middlesex County,total_pop,4615,19
2014,3_towns,0900719130,Deep River,Middlesex County,total_pop,4611,38
2015,3_towns,0900719130,Deep River,Middlesex County,total_pop,4571,19
2016,3_towns,0900719130,Deep River,Middlesex County,total_pop,4552,40
2017,3_towns,0900719130,Deep River,Middlesex County,total_pop,4547,47
2018,3_towns,0900719130,Deep River,Middlesex County,total_pop,4493,29
1990,3_towns,0900720810,Durham,Middlesex County,total_pop,5732,0
2000,3_towns,0900720810,Durham,Middlesex County,total_pop,6627,0
2010,3_towns,0900720810,Durham,Middlesex County,total_pop,7388,0
2011,3_towns,0900720810,Durham,Middlesex County,total_pop,7342,25
2012,3_towns,0900720810,Durham,Middlesex County,total_pop,7368,22
2013,3_towns,0900720810,Durham,Middlesex County,total_pop,7380,26
2014,3_towns,0900720810,Durham,Middlesex County,total_pop,7371,17
2015,3_towns,0900720810,Durham,Middlesex County,total_pop,7349,24
2016,3_towns,0900720810,Durham,Middlesex County,total_pop,7322,18
2017,3_towns,0900720810,Durham,Middlesex County,total_pop,7292,20
2018,3_towns,0900720810,Durham,Middlesex County,total_pop,7248,17
1990,3_towns,0900722280,East Haddam,Middlesex County,total_pop,6676,0
2000,3_towns,0900722280,East Haddam,Middlesex County,total_pop,8333,0
2010,3_towns,0900722280,East Haddam,Middlesex County,total_pop,9126,0
2011,3_towns,0900722280,East Haddam,Middlesex County,total_pop,9069,54
2012,3_towns,0900722280,East Haddam,Middlesex County,total_pop,9120,21
2013,3_towns,0900722280,East Haddam,Middlesex County,total_pop,9138,19
2014,3_towns,0900722280,East Haddam,Middlesex County,total_pop,9142,20
2015,3_towns,0900722280,East Haddam,Middlesex County,total_pop,9139,20
2016,3_towns,0900722280,East Haddam,Middlesex County,total_pop,9098,19
2017,3_towns,0900722280,East Haddam,Middlesex County,total_pop,9072,32
2018,3_towns,0900722280,East Haddam,Middlesex County,total_pop,9032,20
1990,3_towns,0900722490,East Hampton,Middlesex County,total_pop,10428,0
2000,3_towns,0900722490,East Hampton,Middlesex County,total_pop,13352,0
2010,3_towns,0900722490,East Hampton,Middlesex County,total_pop,12959,0
2011,3_towns,0900722490,East Hampton,Middlesex County,total_pop,12926,18
2012,3_towns,0900722490,East Hampton,Middlesex County,total_pop,12953,20
2013,3_towns,0900722490,East Hampton,Middlesex County,total_pop,12949,22
2014,3_towns,0900722490,East Hampton,Middlesex County,total_pop,12936,24
2015,3_towns,0900722490,East Hampton,Middlesex County,total_pop,12915,23
2016,3_towns,0900722490,East Hampton,Middlesex County,total_pop,12878,28
2017,3_towns,0900722490,East Hampton,Middlesex County,total_pop,12890,33
2018,3_towns,0900722490,East Hampton,Middlesex County,total_pop,12856,26
1990,3_towns,0900726270,Essex,Middlesex County,total_pop,5904,0
2000,3_towns,0900726270,Essex,Middlesex County,total_pop,6505,0
2010,3_towns,0900726270,Essex,Middlesex County,total_pop,6683,0
2011,3_towns,0900726270,Essex,Middlesex County,total_pop,6697,19
2012,3_towns,0900726270,Essex,Middlesex County,total_pop,6682,17
2013,3_towns,0900726270,Essex,Middlesex County,total_pop,6668,20
2014,3_towns,0900726270,Essex,Middlesex County,total_pop,6643,33
2015,3_towns,0900726270,Essex,Middlesex County,total_pop,6634,21
2016,3_towns,0900726270,Essex,Middlesex County,total_pop,6594,24
2017,3_towns,0900726270,Essex,Middlesex County,total_pop,6588,20
2018,3_towns,0900726270,Essex,Middlesex County,total_pop,6599,36
1990,3_towns,0900735230,Haddam,Middlesex County,total_pop,6769,0
2000,3_towns,0900735230,Haddam,Middlesex County,total_pop,7157,0
2010,3_towns,0900735230,Haddam,Middlesex County,total_pop,8346,0
2011,3_towns,0900735230,Haddam,Middlesex County,total_pop,8267,38
2012,3_towns,0900735230,Haddam,Middlesex County,total_pop,8308,35
2013,3_towns,0900735230,Haddam,Middlesex County,total_pop,8343,26
2014,3_towns,0900735230,Haddam,Middlesex County,total_pop,8356,17
2015,3_towns,0900735230,Haddam,Middlesex County,total_pop,8338,23
2016,3_towns,0900735230,Haddam,Middlesex County,total_pop,8303,34
