level,name,year,tenure,hhlds,value
3_towns,Ashford,2000,total,total,1578
3_towns,Ashford,2000,owner,total,1156
3_towns,Ashford,2000,owner,p1,184
3_towns,Ashford,2000,owner,p2,419
3_towns,Ashford,2000,owner,p3,215
3_towns,Ashford,2000,owner,p4_or_more,338
3_towns,Ashford,2000,renter,total,422
3_towns,Ashford,2000,renter,p1,141
3_towns,Ashford,2000,renter,p2,161
3_towns,Ashford,2000,renter,p3,64
3_towns,Ashford,2000,renter,p4_or_more,56
3_towns,Avon,2000,total,total,6192
3_towns,Avon,2000,owner,total,5316
3_towns,Avon,2000,owner,p1,1015
3_towns,Avon,2000,owner,p2,2026
3_towns,Avon,2000,owner,p3,806
3_towns,Avon,2000,owner,p4_or_more,1469
3_towns,Avon,2000,renter,total,876
3_towns,Avon,2000,renter,p1,440
3_towns,Avon,2000,renter,p2,262
3_towns,Avon,2000,renter,p3,81
3_towns,Avon,2000,renter,p4_or_more,93
3_towns,Barkhamsted,2000,total,total,1334
3_towns,Barkhamsted,2000,owner,total,1152
3_towns,Barkhamsted,2000,owner,p1,149
3_towns,Barkhamsted,2000,owner,p2,463
3_towns,Barkhamsted,2000,owner,p3,225
3_towns,Barkhamsted,2000,owner,p4_or_more,315
3_towns,Barkhamsted,2000,renter,total,182
3_towns,Barkhamsted,2000,renter,p1,76
3_towns,Barkhamsted,2000,renter,p2,65
3_towns,Barkhamsted,2000,renter,p3,25
3_towns,Barkhamsted,2000,renter,p4_or_more,16
3_towns,Beacon Falls,2000,total,total,2032
3_towns,Beacon Falls,2000,owner,total,1594
3_towns,Beacon Falls,2000,owner,p1,280
3_towns,Beacon Falls,2000,owner,p2,547
3_towns,Beacon Falls,2000,owner,p3,290
3_towns,Beacon Falls,2000,owner,p4_or_more,477
3_towns,Beacon Falls,2000,renter,total,438
3_towns,Beacon Falls,2000,renter,p1,187
3_towns,Beacon Falls,2000,renter,p2,144
3_towns,Beacon Falls,2000,renter,p3,53
3_towns,Beacon Falls,2000,renter,p4_or_more,54
3_towns,Berlin,2000,total,total,6792
3_towns,Berlin,2000,owner,total,5996
3_towns,Berlin,2000,owner,p1,1047
3_towns,Berlin,2000,owner,p2,2005
3_towns,Berlin,2000,owner,p3,1156
3_towns,Berlin,2000,owner,p4_or_more,1788
3_towns,Berlin,2000,renter,total,796
3_towns,Berlin,2000,renter,p1,368
3_towns,Berlin,2000,renter,p2,213
3_towns,Berlin,2000,renter,p3,108
3_towns,Berlin,2000,renter,p4_or_more,107
3_towns,Bethany,2000,total,total,1755
3_towns,Bethany,2000,owner,total,1609
3_towns,Bethany,2000,owner,p1,192
3_towns,Bethany,2000,owner,p2,556
3_towns,Bethany,2000,owner,p3,328
3_towns,Bethany,2000,owner,p4_or_more,533
3_towns,Bethany,2000,renter,total,146
3_towns,Bethany,2000,renter,p1,45
3_towns,Bethany,2000,renter,p2,46
3_towns,Bethany,2000,renter,p3,24
3_towns,Bethany,2000,renter,p4_or_more,31
3_towns,Bethel,2000,total,total,6505
3_towns,Bethel,2000,owner,total,4983
3_towns,Bethel,2000,owner,p1,692
3_towns,Bethel,2000,owner,p2,1591
3_towns,Bethel,2000,owner,p3,945
3_towns,Bethel,2000,owner,p4_or_more,1755
3_towns,Bethel,2000,renter,total,1522
3_towns,Bethel,2000,renter,p1,647
3_towns,Bethel,2000,renter,p2,405
3_towns,Bethel,2000,renter,p3,239
3_towns,Bethel,2000,renter,p4_or_more,231
3_towns,Bethlehem,2000,total,total,1246
3_towns,Bethlehem,2000,owner,total,1065
3_towns,Bethlehem,2000,owner,p1,158
3_towns,Bethlehem,2000,owner,p2,384
3_towns,Bethlehem,2000,owner,p3,208
3_towns,Bethlehem,2000,owner,p4_or_more,315
3_towns,Bethlehem,2000,renter,total,181
3_towns,Bethlehem,2000,renter,p1,86
3_towns,Bethlehem,2000,renter,p2,52
3_towns,Bethlehem,2000,renter,p3,21
3_towns,Bethlehem,2000,renter,p4_or_more,22
3_towns,Bloomfield,2000,total,total,7902
3_towns,Bloomfield,2000,owner,total,5916
3_towns,Bloomfield,2000,owner,p1,1351
3_towns,Bloomfield,2000,owner,p2,2247
3_towns,Bloomfield,2000,owner,p3,949
3_towns,Bloomfield,2000,owner,p4_or_more,1369
3_towns,Bloomfield,2000,renter,total,1986
3_towns,Bloomfield,2000,renter,p1,1029
3_towns,Bloomfield,2000,renter,p2,497
3_towns,Bloomfield,2000,renter,p3,220
3_towns,Bloomfield,2000,renter,p4_or_more,240
3_towns,Bolton,2000,total,total,1906
3_towns,Bolton,2000,owner,total,1629
3_towns,Bolton,2000,owner,p1,236
3_towns,Bolton,2000,owner,p2,641
3_towns,Bolton,2000,owner,p3,259
3_towns,Bolton,2000,owner,p4_or_more,493
3_towns,Bolton,2000,renter,total,277
3_towns,Bolton,2000,renter,p1,139
3_towns,Bolton,2000,renter,p2,76
3_towns,Bolton,2000,renter,p3,33
3_towns,Bolton,2000,renter,p4_or_more,29
3_towns,Bozrah,2000,total,total,883
3_towns,Bozrah,2000,owner,total,725
3_towns,Bozrah,2000,owner,p1,106
3_towns,Bozrah,2000,owner,p2,279
3_towns,Bozrah,2000,owner,p3,147
3_towns,Bozrah,2000,owner,p4_or_more,193
3_towns,Bozrah,2000,renter,total,158
3_towns,Bozrah,2000,renter,p1,67
3_towns,Bozrah,2000,renter,p2,40
3_towns,Bozrah,2000,renter,p3,23
3_towns,Bozrah,2000,renter,p4_or_more,28
3_towns,Branford,2000,total,total,12543
3_towns,Branford,2000,owner,total,8601
3_towns,Branford,2000,owner,p1,2244
3_towns,Branford,2000,owner,p2,3174
3_towns,Branford,2000,owner,p3,1414
3_towns,Branford,2000,owner,p4_or_more,1769
3_towns,Branford,2000,renter,total,3942
3_towns,Branford,2000,renter,p1,1824
3_towns,Branford,2000,renter,p2,1180
3_towns,Branford,2000,renter,p3,489
3_towns,Branford,2000,renter,p4_or_more,449
3_towns,Bridgeport,2000,total,total,50307
3_towns,Bridgeport,2000,owner,total,21755
3_towns,Bridgeport,2000,owner,p1,5644
3_towns,Bridgeport,2000,owner,p2,6233
3_towns,Bridgeport,2000,owner,p3,3618
3_towns,Bridgeport,2000,owner,p4_or_more,6260
3_towns,Bridgeport,2000,renter,total,28552
3_towns,Bridgeport,2000,renter,p1,8933
3_towns,Bridgeport,2000,renter,p2,6709
3_towns,Bridgeport,2000,renter,p3,5005
3_towns,Bridgeport,2000,renter,p4_or_more,7905
3_towns,Bridgewater,2000,total,total,703
3_towns,Bridgewater,2000,owner,total,633
3_towns,Bridgewater,2000,owner,p1,119
3_towns,Bridgewater,2000,owner,p2,252
3_towns,Bridgewater,2000,owner,p3,95
3_towns,Bridgewater,2000,owner,p4_or_more,167
3_towns,Bridgewater,2000,renter,total,70
3_towns,Bridgewater,2000,renter,p1,29
3_towns,Bridgewater,2000,renter,p2,26
3_towns,Bridgewater,2000,renter,p3,4
