name,year,commute_time,commuters,share
New London County,2010,16 to 30 mins,52554,0.408
New London County,2010,31 to 60 mins,27652,0.215
New London County,2010,61 to 120 mins,7170,0.056
New London County,2010,More than 120 mins,793,0.006
New London County,2018,Total,127089,NA
New London County,2018,Up to 15 mins,37112,0.292
New London County,2018,16 to 30 mins,53890,0.424
New London County,2018,31 to 60 mins,27734,0.218
New London County,2018,61 to 120 mins,7349,0.058
New London County,2018,More than 120 mins,1004,0.008
Tolland County,2000,Total,67089,NA
Tolland County,2000,Up to 15 mins,15742,0.235
Tolland County,2000,16 to 30 mins,23973,0.357
Tolland County,2000,31 to 60 mins,23496,0.35
Tolland County,2000,61 to 120 mins,3026,0.045
Tolland County,2000,More than 120 mins,852,0.013
Tolland County,2010,Total,71114,NA
Tolland County,2010,Up to 15 mins,16399,0.231
Tolland County,2010,16 to 30 mins,26010,0.366
Tolland County,2010,31 to 60 mins,24845,0.349
Tolland County,2010,61 to 120 mins,3377,0.047
Tolland County,2010,More than 120 mins,483,0.007
Tolland County,2018,Total,69026,NA
Tolland County,2018,Up to 15 mins,15005,0.217
Tolland County,2018,16 to 30 mins,24498,0.355
Tolland County,2018,31 to 60 mins,25296,0.366
Tolland County,2018,61 to 120 mins,3545,0.051
Tolland County,2018,More than 120 mins,682,0.01
Windham County,2000,Total,52319,NA
Windham County,2000,Up to 15 mins,16515,0.316
Windham County,2000,16 to 30 mins,16550,0.316
Windham County,2000,31 to 60 mins,14360,0.274
Windham County,2000,61 to 120 mins,4123,0.079
Windham County,2000,More than 120 mins,771,0.015
Windham County,2010,Total,54587,NA
Windham County,2010,Up to 15 mins,16582,0.304
Windham County,2010,16 to 30 mins,18044,0.331
Windham County,2010,31 to 60 mins,15541,0.285
Windham County,2010,61 to 120 mins,3945,0.072
Windham County,2010,More than 120 mins,475,0.009
Windham County,2018,Total,52752,NA
Windham County,2018,Up to 15 mins,14672,0.278
Windham County,2018,16 to 30 mins,17475,0.331
Windham County,2018,31 to 60 mins,16089,0.305
Windham County,2018,61 to 120 mins,4062,0.077
Windham County,2018,More than 120 mins,454,0.009
