year,name,inc_band,value,value_se
2018,New Haven County,Low,37512,1092.3840612919068
2018,New Haven County,Mid-low,52407,1339.8557246376095
2018,New Haven County,Mid-high,53410,1291.0712780743731
2018,New Haven County,High,139367,1959.58482493078
2018,New London County,Very low,14344,700.601794693885
2018,New London County,Low,10745,574.545361212116
2018,New London County,Mid-low,17668,737.1723712156462
2018,New London County,Mid-high,20979,779.6788214409839
2018,New London County,High,43666,1021.6979776133878
2018,Tolland County,Very low,7722,540.0129724450741
2018,Tolland County,Low,6681,484.5781751135738
2018,Tolland County,Mid-low,8039,518.0448626032676
2018,Tolland County,Mid-high,10580,568.3208013255751
2018,Tolland County,High,22196,794.3773596908778
2018,Windham County,Very low,5836,414.9896289607357
2018,Windham County,Low,4590,386.68561994439096
2018,Windham County,Mid-low,6958,473.572056552239
2018,Windham County,Mid-high,9000,509.80527109355785
2018,Windham County,High,18079,691.3551790042787
