level,name,inc_band,cost_burden,value,value_se,statefip.x,statefip.y,share,sharemoe
2_counties,New London County,Very low,No burden,2164,298.10223662696995,NA,NA,0.151,0.019
2_counties,New London County,Very low,Cost-burdened,2800,309.0215677053828,NA,NA,0.195,0.019
2_counties,New London County,Very low,Severely cost-burdened,9380,553.2362774634021,NA,NA,0.654,0.022
2_counties,New London County,Low,Total,10745,573.615454572927,NA,NA,NA,NA
2_counties,New London County,Low,No burden,2752,286.89007724305435,NA,NA,0.256,0.023
2_counties,New London County,Low,Cost-burdened,4411,368.68603658233036,NA,NA,0.411,0.026
2_counties,New London County,Low,Severely cost-burdened,3582,334.46956076391155,NA,NA,0.333,0.026
2_counties,New London County,Mid-low,Total,17668,735.2095971685566,NA,NA,NA,NA
2_counties,New London County,Mid-low,No burden,9431,528.3175289936281,NA,NA,0.534,0.02
2_counties,New London County,Mid-low,Cost-burdened,6562,461.21279004045334,NA,NA,0.371,0.021
2_counties,New London County,Mid-low,Severely cost-burdened,1675,226.2918346615019,NA,NA,0.095,0.012
2_counties,New London County,Mid-high,Total,20979,777.0604809273618,NA,NA,NA,NA
2_counties,New London County,Mid-high,No burden,16452,705.3581257492962,NA,NA,0.784,0.017
2_counties,New London County,Mid-high,Cost-burdened,4012,308.29110734511465,NA,NA,0.191,0.013
2_counties,New London County,Mid-high,Severely cost-burdened,515,115.83364851698144,NA,NA,0.025,0.005
2_counties,New London County,High,Total,43666,1013.0119901212736,NA,NA,NA,NA
2_counties,New London County,High,No burden,41526,988.9865181015302,NA,NA,0.951,0.005
2_counties,New London County,High,Cost-burdened,1839,202.89330013847686,NA,NA,0.042,0.005
2_counties,New London County,High,Severely cost-burdened,301,97.2926052551597,NA,NA,0.007,0.002
2_counties,Tolland County,Very low,Total,7722,539.5032027050245,NA,NA,NA,NA
2_counties,Tolland County,Very low,No burden,898,187.33680209720546,NA,NA,0.116,0.023
2_counties,Tolland County,Very low,Cost-burdened,1484,216.97345530911545,NA,NA,0.192,0.025
2_counties,Tolland County,Very low,Severely cost-burdened,5340,457.4813128391614,NA,NA,0.692,0.034
2_counties,Tolland County,Low,Total,6681,484.1531039822669,NA,NA,NA,NA
2_counties,Tolland County,Low,No burden,2190,244.61588117056945,NA,NA,0.328,0.028
2_counties,Tolland County,Low,Cost-burdened,2516,295.6409889779827,NA,NA,0.377,0.035
2_counties,Tolland County,Low,Severely cost-burdened,1975,295.9442568191529,NA,NA,0.296,0.039
2_counties,Tolland County,Mid-low,Total,8039,517.4684760639175,NA,NA,NA,NA
2_counties,Tolland County,Mid-low,No burden,5178,436.93823444339625,NA,NA,0.644,0.035
2_counties,Tolland County,Mid-low,Cost-burdened,2344,257.65700900917716,NA,NA,0.292,0.026
2_counties,Tolland County,Mid-low,Severely cost-burdened,517,104.52449287051667,NA,NA,0.064,0.012
2_counties,Tolland County,Mid-high,Total,10580,567.4093910345849,NA,NA,NA,NA
2_counties,Tolland County,Mid-high,No burden,8691,517.5453179887788,NA,NA,0.821,0.021
2_counties,Tolland County,Mid-high,Cost-burdened,1889,233.59204045796244,NA,NA,0.179,0.02
2_counties,Tolland County,High,Total,22196,791.4999882833196,NA,NA,NA,NA
2_counties,Tolland County,High,No burden,21652,782.8383149820868,NA,NA,0.975,0.006
2_counties,Tolland County,High,Cost-burdened,544,118.19478437046754,NA,NA,0.025,0.005
2_counties,Windham County,Very low,Total,5836,414.61080907893813,NA,NA,NA,NA
2_counties,Windham County,Very low,No burden,1032,181.32673189643359,NA,NA,0.177,0.028
2_counties,Windham County,Very low,Cost-burdened,1126,183.11340834190202,NA,NA,0.193,0.028
2_counties,Windham County,Very low,Severely cost-burdened,3678,325.19214427014475,NA,NA,0.63,0.033
2_counties,Windham County,Low,Total,4590,386.4346869797681,NA,NA,NA,NA
2_counties,Windham County,Low,No burden,1534,209.36880733802658,NA,NA,0.334,0.036
2_counties,Windham County,Low,Cost-burdened,2056,278.0777484039223,NA,NA,0.448,0.047
2_counties,Windham County,Low,Severely cost-burdened,1000,168.40498957978218,NA,NA,0.218,0.032
2_counties,Windham County,Mid-low,Total,6958,473.0999657545268,NA,NA,NA,NA
2_counties,Windham County,Mid-low,No burden,3621,329.0240991489945,NA,NA,0.52,0.031
2_counties,Windham County,Mid-low,Cost-burdened,2544,305.75427085961854,NA,NA,0.366,0.036
2_counties,Windham County,Mid-low,Severely cost-burdened,793,149.93469630408373,NA,NA,0.114,0.02
2_counties,Windham County,Mid-high,Total,9000,509.0703498126284,NA,NA,NA,NA
2_counties,Windham County,Mid-high,No burden,6913,443.44901852764156,NA,NA,0.768,0.023
2_counties,Windham County,Mid-high,Cost-burdened,1917,239.12709862774273,NA,NA,0.213,0.024
2_counties,Windham County,Mid-high,Severely cost-burdened,170,75.77382168444035,NA,NA,0.019,0.008
2_counties,Windham County,High,Total,18079,689.1626570661118,NA,NA,NA,NA
2_counties,Windham County,High,No burden,17391,677.9384403741541,NA,NA,0.962,0.008
2_counties,Windham County,High,Cost-burdened,682,125.16243516606453,NA,NA,0.038,0.007
2_counties,Windham County,High,Severely cost-burdened,6,4.242610646376473,NA,NA,0,0
