"hhwt","name","minc","inc_band","hcost","cost_band"
16,"Middlesex County",85898,"High",1358,"Mid-low"
9,"New Haven County",69905,"High",1147,"Mid-low"
23,"New Haven County",69905,"Mid-low",1778,"Mid-high"
20,"Fairfield County",95645,"Mid-high",2236,"Mid-high"
12,"New Haven County",69905,"High",1196,"Mid-low"
48,"Hartford County",75148,"Mid-high",1367,"Mid-low"
38,"Hartford County",75148,"Mid-low",1350,"Mid-low"
14,"Fairfield County",95645,"High",3444,"High"
21,"New Haven County",69905,"High",5511,"High"
14,"Fairfield County",95645,"Mid-high",2696,"Mid-high"
31,"New Haven County",69905,"High",211,"Very low"
15,"New London County",73490,"High",1826,"Mid-high"
25,"New Haven County",69905,"Mid-high",943,"Mid-low"
35,"Hartford County",75148,"High",1741,"Mid-high"
7,"New Haven County",69905,"High",1906,"Mid-high"
12,"Litchfield County",79906,"Low",1270,"Mid-low"
4,"New London County",73490,"High",532,"Very low"
13,"Fairfield County",95645,"High",3396,"High"
11,"New Haven County",69905,"High",1838,"Mid-high"
