"hhwt","name","minc","inc_band","hcost","cost_band"
13,"Windham County",66550,"Mid-low",1989,"Mid-high"
21,"Hartford County",75148,"High",3832,"High"
18,"Tolland County",87069,"Very low",896,"Low"
15,"Fairfield County",95645,"High",8576,"High"
13,"Middlesex County",85898,"Mid-low",862,"Low"
2,"Middlesex County",85898,"High",979,"Low"
48,"Tolland County",87069,"Low",1016,"Low"
21,"Litchfield County",79906,"Mid-high",1848,"Mid-high"
14,"Fairfield County",95645,"Mid-low",1225,"Mid-low"
23,"Fairfield County",95645,"Mid-high",1429,"Mid-low"
8,"Windham County",66550,"High",2365,"High"
14,"New Haven County",69905,"Mid-high",1495,"Mid-high"
25,"Fairfield County",95645,"High",2833,"Mid-high"
17,"Hartford County",75148,"High",796,"Low"
15,"Hartford County",75148,"High",2063,"Mid-high"
25,"Fairfield County",95645,"Mid-high",1553,"Mid-low"
22,"New London County",73490,"High",2144,"Mid-high"
11,"Fairfield County",95645,"Mid-high",1055,"Low"
16,"Fairfield County",95645,"High",1983,"Mid-high"
12,"New Haven County",69905,"Mid-high",888,"Mid-low"
12,"Middlesex County",85898,"Mid-low",768,"Low"
9,"New Haven County",69905,"Mid-low",2111,"High"
25,"Hartford County",75148,"High",3427,"High"
8,"New Haven County",69905,"High",2470,"High"
9,"Hartford County",75148,"High",1803,"Mid-high"
65,"Hartford County",75148,"High",1532,"Mid-high"
13,"New Haven County",69905,"Low",667,"Low"
13,"Tolland County",87069,"High",1571,"Mid-low"
22,"Windham County",66550,"Very low",530,"Low"
13,"Hartford County",75148,"High",882,"Low"
28,"Hartford County",75148,"High",1573,"Mid-high"
35,"New Haven County",69905,"High",2095,"Mid-high"
14,"Litchfield County",79906,"Mid-low",1877,"Mid-high"
7,"New London County",73490,"Mid-high",694,"Low"
15,"Hartford County",75148,"Very low",532,"Very low"
11,"Fairfield County",95645,"Mid-low",1845,"Mid-low"
13,"Hartford County",75148,"Very low",548,"Very low"
15,"Fairfield County",95645,"High",1740,"Mid-low"
10,"Windham County",66550,"Mid-high",1129,"Mid-low"
22,"Fairfield County",95645,"High",2741,"Mid-high"
15,"Hartford County",75148,"High",722,"Low"
7,"Hartford County",75148,"Mid-low",1902,"Mid-high"
13,"Hartford County",75148,"Low",774,"Low"
21,"New London County",73490,"High",1584,"Mid-high"
19,"Tolland County",87069,"High",1972,"Mid-high"
14,"Hartford County",75148,"High",2009,"Mid-high"
5,"Windham County",66550,"Mid-low",947,"Mid-low"
13,"New Haven County",69905,"Mid-high",3011,"High"
8,"Hartford County",75148,"Low",1854,"Mid-high"
59,"New Haven County",69905,"Low",815,"Low"
15,"Middlesex County",85898,"Mid-low",2061,"Mid-high"
26,"Middlesex County",85898,"High",2606,"High"
21,"New Haven County",69905,"Mid-low",1681,"Mid-high"
17,"New London County",73490,"High",1733,"Mid-high"
21,"Fairfield County",95645,"High",4032,"High"
15,"Hartford County",75148,"High",2241,"Mid-high"
10,"Middlesex County",85898,"Mid-high",1305,"Mid-low"
15,"New Haven County",69905,"High",1168,"Mid-low"
16,"Fairfield County",95645,"High",2484,"Mid-high"
14,"Fairfield County",95645,"Mid-low",7463,"High"
21,"New Haven County",69905,"High",764,"Low"
12,"Hartford County",75148,"Very low",1010,"Mid-low"
12,"New Haven County",69905,"High",2231,"High"
12,"New London County",73490,"High",2191,"Mid-high"
70,"Litchfield County",79906,"High",2671,"High"
21,"Tolland County",87069,"Mid-high",1825,"Mid-high"
13,"Fairfield County",95645,"High",4775,"High"
14,"Fairfield County",95645,"High",2752,"Mid-high"
18,"New Haven County",69905,"Mid-low",667,"Low"
11,"Hartford County",75148,"Mid-high",1199,"Mid-low"
26,"Middlesex County",85898,"High",1258,"Mid-low"
13,"Hartford County",75148,"Mid-low",1704,"Mid-high"
7,"Hartford County",75148,"Mid-low",677,"Low"
7,"Fairfield County",95645,"Mid-low",718,"High"
12,"New Haven County",69905,"High",1556,"Mid-high"
7,"Hartford County",75148,"Mid-low",1089,"Mid-low"
13,"Fairfield County",95645,"Mid-high",10125,"High"
23,"New Haven County",69905,"High",3064,"High"
14,"Litchfield County",79906,"High",2129,"Mid-high"
11,"Fairfield County",95645,"High",1676,"Mid-low"
12,"New Haven County",69905,"High",1104,"Mid-low"
33,"New Haven County",69905,"High",2147,"High"
20,"New Haven County",69905,"Mid-high",990,"Mid-low"
10,"Tolland County",87069,"High",1526,"Mid-low"
14,"Hartford County",75148,"High",1593,"Mid-high"
13,"Fairfield County",95645,"High",6546,"High"
46,"Litchfield County",79906,"High",1826,"Mid-high"
11,"New London County",73490,"Very low",525,"Very low"
14,"Hartford County",75148,"Mid-low",573,"Low"
7,"New London County",73490,"Very low",487,"Very low"
25,"Fairfield County",95645,"Mid-high",1828,"Mid-low"
12,"Litchfield County",79906,"Very low",1194,"Mid-low"
24,"Fairfield County",95645,"Low",1662,"Mid-low"
12,"Fairfield County",95645,"Low",1635,"Mid-low"
23,"New Haven County",69905,"High",978,"Mid-low"
15,"New Haven County",69905,"High",2304,"High"
24,"Fairfield County",95645,"High",5896,"High"
14,"Hartford County",75148,"Low",1198,"Mid-low"
13,"Fairfield County",95645,"High",2700,"Mid-high"
12,"Tolland County",87069,"High",4328,"High"
11,"New Haven County",69905,"High",1695,"Mid-high"
47,"Fairfield County",95645,"Low",1213,"Mid-low"
11,"Fairfield County",95645,"Very low",843,"Low"
12,"Hartford County",75148,"High",831,"Low"
13,"Hartford County",75148,"High",1273,"Mid-low"
14,"Fairfield County",95645,"Mid-high",2969,"High"
7,"New London County",73490,"High",1580,"Mid-high"
15,"Middlesex County",85898,"Mid-low",1576,"Mid-low"
32,"Middlesex County",85898,"High",2292,"Mid-high"
14,"Hartford County",75148,"Mid-low",837,"Low"
12,"Litchfield County",79906,"High",1997,"Mid-high"
13,"Fairfield County",95645,"High",5099,"High"
19,"Litchfield County",79906,"Very low",580,"Very low"
6,"Litchfield County",79906,"Mid-high",1563,"Mid-low"
27,"Hartford County",75148,"High",1920,"Mid-high"
13,"Hartford County",75148,"High",2035,"Mid-high"
25,"Hartford County",75148,"Mid-low",3542,"High"
26,"New Haven County",69905,"Mid-low",2483,"High"
50,"Middlesex County",85898,"High",2779,"High"
20,"Middlesex County",85898,"High",1990,"Mid-high"
13,"Fairfield County",95645,"High",877,"Low"
40,"Hartford County",75148,"High",2975,"High"
22,"New Haven County",69905,"High",754,"Low"
13,"Fairfield County",95645,"Mid-high",3580,"High"
12,"New Haven County",69905,"High",3935,"High"
8,"Fairfield County",95645,"High",2343,"Mid-high"
38,"Hartford County",75148,"Low",698,"Low"
13,"New London County",73490,"High",468,"Very low"
14,"New Haven County",69905,"High",2116,"High"
12,"Fairfield County",95645,"High",2828,"Mid-high"
13,"New London County",73490,"Mid-low",446,"Very low"
25,"Fairfield County",95645,"High",2245,"Mid-high"
11,"Hartford County",75148,"High",1433,"Mid-low"
13,"Hartford County",75148,"High",2533,"High"
12,"New Haven County",69905,"High",4545,"High"
42,"Fairfield County",95645,"High",2461,"Mid-high"
22,"Middlesex County",85898,"Mid-high",1199,"Mid-low"
19,"Litchfield County",79906,"Low",648,"Low"
7,"New Haven County",69905,"Low",1942,"Mid-high"
12,"Fairfield County",95645,"High",2357,"Mid-high"
47,"Litchfield County",79906,"Low",804,"Low"
9,"Fairfield County",95645,"Very low",858,"Low"
23,"New Haven County",69905,"Low",105,"Very low"
17,"Middlesex County",85898,"High",2980,"High"
28,"Windham County",66550,"Mid-low",1508,"Mid-high"
15,"Middlesex County",85898,"Mid-high",731,"Low"
11,"Fairfield County",95645,"Mid-high",3236,"High"
23,"Fairfield County",95645,"Low",2464,"Mid-high"
10,"New Haven County",69905,"High",1003,"Mid-low"
25,"Hartford County",75148,"High",1590,"Mid-high"
23,"New Haven County",69905,"High",2692,"High"
11,"New Haven County",69905,"High",2116,"High"
14,"Hartford County",75148,"High",2894,"High"
15,"Hartford County",75148,"Mid-low",632,"Low"
69,"New London County",73490,"Mid-low",2959,"High"
13,"Fairfield County",95645,"Mid-low",1487,"Mid-low"
11,"Fairfield County",95645,"Low",7620,"High"
22,"New Haven County",69905,"Very low",227,"Very low"
20,"Tolland County",87069,"High",1140,"Mid-low"
19,"Windham County",66550,"Mid-high",1593,"Mid-high"
11,"New London County",73490,"High",3454,"High"
16,"Fairfield County",95645,"High",5020,"High"
24,"New Haven County",69905,"High",2622,"High"
7,"New London County",73490,"High",9157,"High"
16,"Hartford County",75148,"High",2131,"Mid-high"
17,"New Haven County",69905,"High",2812,"High"
15,"Fairfield County",95645,"High",1893,"Mid-low"
9,"Hartford County",75148,"High",2223,"Mid-high"
23,"New Haven County",69905,"Mid-low",846,"Low"
7,"New Haven County",69905,"Mid-low",708,"Low"
14,"Fairfield County",95645,"High",3830,"High"
7,"New Haven County",69905,"Mid-low",643,"Low"
12,"Hartford County",75148,"High",1987,"Mid-high"
22,"Hartford County",75148,"Mid-high",1513,"Mid-high"
11,"Hartford County",75148,"High",3100,"High"
27,"Hartford County",75148,"Mid-low",791,"Low"
18,"New London County",73490,"High",1655,"Mid-high"
62,"New Haven County",69905,"High",904,"Mid-low"
13,"Hartford County",75148,"Mid-high",1624,"Mid-high"
25,"New London County",73490,"High",2161,"Mid-high"
6,"New Haven County",69905,"High",2523,"High"
14,"New Haven County",69905,"High",2262,"High"
38,"Hartford County",75148,"Mid-low",1506,"Mid-high"
13,"Fairfield County",95645,"Very low",1169,"Low"
12,"Fairfield County",95645,"Mid-low",2480,"Mid-high"
9,"New Haven County",69905,"High",1637,"Mid-high"
87,"New Haven County",69905,"High",4221,"High"
22,"Hartford County",75148,"High",1837,"Mid-high"
13,"Hartford County",75148,"Mid-high",887,"Low"
21,"New Haven County",69905,"High",2375,"High"
25,"Middlesex County",85898,"High",3558,"High"
13,"Tolland County",87069,"Mid-low",1193,"Mid-low"
10,"Hartford County",75148,"High",1413,"Mid-low"
16,"New Haven County",69905,"High",2914,"High"
12,"Fairfield County",95645,"Mid-low",866,"Low"
14,"Litchfield County",79906,"High",3810,"High"
16,"Litchfield County",79906,"High",2891,"High"
