County,City,CityOld,ProjectID,SubsidyClass,SubsidySubclass,EndDateList,Total,UnitLower,UnitUpper,ProjectName,Latitude,Longitude,RowID,Clean_Proj,Group Flag,ProjectID2
fairfield,stamford,Stamford,a8c3a8cc-1f22-42c7-9a87-9a2c12f141f0,FHA_HUD_Multifamily_Mortgages,207/ 223(F) PUR/ REFIN HSG,"('2047-05-01',)",24,24.0,24.0,STAMFORD CROSS ROAD,41.07675220000001,-73.55025649999999,666,stamford affordable homes,stamford646,00a6bf8a-09a2-479f-a339-cd5d92fda9ba
fairfield,stamford,Stamford,a8c3a8cc-1f22-42c7-9a87-9a2c12f141f0,Section_8_NonVoucher,202/8 NC,"('2034-09-17',)",24,24.0,24.0,STAMFORD CROSS ROAD,41.07675220000001,-73.55025649999999,667,stamford affordable homes,stamford646,00a6bf8a-09a2-479f-a339-cd5d92fda9ba
fairfield,stamford,Stamford,462c13b1-7e9b-40e9-b965-095222f4653e,Deed,30 years,(),1,1.0,1.0,462c13b1-7e9b-40e9-b965-095222f4653e,41.0886744,-73.5338811,668,462c13b17e9b40e9b965095222f4653e,,790df2e6-f6f9-4f8d-b1a4-fcd133b32ceb
fairfield,stamford,Stamford,7b9cdbf1-ee41-4c02-b6e6-4122a7c99c25,Deed,30 years,(),1,1.0,1.0,7b9cdbf1-ee41-4c02-b6e6-4122a7c99c25,41.090077799999996,-73.51848670000001,669,7b9cdbf1ee414c02b6e64122a7c99c25,,1d80cecd-fdbe-4734-9408-aa9c3f3566ab
fairfield,stamford,Stamford,5ffdf5d7-5a1c-465a-9183-b7ad72aac9d6,Deed,99 years,(),12,12.0,12.0,Village at River's Edge,41.09340460000001,-73.51560620000001,670, at rivers edge,,123a18da-f876-4a2f-9dab-80d1326d9407
fairfield,stamford,Stamford,025756b9-79c8-4fc0-bd55-0a04d9ed2f9d,Deed,30 years,(),1,1.0,1.0,025756b9-79c8-4fc0-bd55-0a04d9ed2f9d,41.0935409,-73.51941099999998,671,025756b979c84fc0bd550a04d9ed2f9d,,7d5ed619-be0e-4599-82c4-f45aa3755de4
fairfield,stamford,Stamford,189db2b1-2e15-4af9-8ec7-1ee4cdb27e32,State_Subsidy,CT.Elderly,nan,41,1.0,41.0,Eleanor Roosevelt Homes,41.09411980000001,-73.51905079999999,672,eleanor roosevelt homes,stamford672,543e8acb-cff3-4e33-89b1-7b4992540966
fairfield,stamford,Stamford,6a0b3a32-d8cc-46b5-a01b-51fe1fe35493,Section_8_NonVoucher,Sec 8 NC,"('2021-11-30',)",41,41.0,41.0,ELEANOR ROOSEVELT HOMES,41.09411980000001,-73.51905079999999,673,eleanor roosevelt homes,stamford672,543e8acb-cff3-4e33-89b1-7b4992540966
fairfield,stamford,Stamford,f3ee1152-4be6-4752-8ef4-59df79e04e68,Deed,30 years,(),1,1.0,1.0,f3ee1152-4be6-4752-8ef4-59df79e04e68,41.096185999999996,-73.52156629999999,674,f3ee11524be647528ef459df79e04e68,,f3fec565-7db2-450e-8be7-3d3815dcc9fa
fairfield,stamford,Stamford,040f7a9d-a15c-49b9-8d2b-10d28f58b310,FHA_HUD_Multifamily_Mortgages,207/ 223(F) PUR/ REFIN HSG,"('2050-07-01',)",54,54.0,54.0,WILLARD MANOR,41.102247600000005,-73.54616399999998,675,willard manor,stamford638,f71da9a2-2d50-4d08-b883-86219651ac69
fairfield,stamford,Stamford,45f41f5f-b57c-4a6b-b3d4-9bb96e0aac98,Public_Housing,nan,nan,90,4.0,4.0,Greenfield,41.0534302,-73.53873409999999,676,greenfield,stamford676,b7704786-63ee-4d67-9473-056f651924cf
fairfield,stamford,Stamford,e9934155-f4f5-4b1d-b864-2db7768b0e82,Public_Housing,nan,nan,60,1.0,60.0,Post House,41.0534302,-73.53873409999999,677,post house,,ab1e2b2b-78da-4b4a-99cc-e77c249f3f65
fairfield,stamford,Stamford,1c887997-a166-45d4-a55b-a115b17ab533,Public_Housing,nan,nan,215,1.0,215.0,Stamford Manor,41.0534302,-73.53873409999999,678,stamford affordable homes,stamford646,00a6bf8a-09a2-479f-a339-cd5d92fda9ba
fairfield,stamford,Stamford,cf453cbd-5ba4-4e96-b857-a4958f5c23bb,Public_Housing,nan,nan,90,1.0,90.0,Fairgate,41.0534302,-73.53873409999999,679,fairgate,stamford679,7a3a77aa-d4b6-45c8-9924-23c48a0608a9
fairfield,stamford,Stamford,05e7af77-acc3-40a3-8943-55d6fd1695ce,Public_Housing,nan,nan,78,1.0,78.0,Ursula Park Townhouses,41.0534302,-73.53873409999999,680,ursula park townhouses,,2946b67a-29f2-48ed-8bdd-b80359f10728
